CAW_Name,Reg_Centre_Code,Reg_Centre_Name,Total_Registered_Voters
JUNJU,001,KIREME PRIMARY SCHOOL,1788
JUNJU,002,JUNJU PRIMARY SCHOOL,1127
JUNJU,003,KOLEWA PRIMARY SCHOOL,932
JUNJU,004,GONGONI PRIMARY SCHOOL,777
JUNJU,005,VIPINGO PRIMARY SCHOOL,1385
JUNJU,006,MAPAWA PRIMARY SCHOOL,355
JUNJU,007,SHARIANI PRIMARY SCHOOL,2816
JUNJU,008,KAPECHA PRIMARY SCHOOL,460
JUNJU,009,BODOI PRIMARY SCHOOL,468
JUNJU,010,CHODARI PRIMARY SCHOOL,690
JUNJU,011,VIPINGO CENTRAL PRIMARY SCHOOL,4550
JUNJU,012,MWEMBETSUNGU PRIMARY SCHOOL,434
MWARAKAYA,013,PINGILIKANI PRIMARY SCHOOL,1021
MWARAKAYA,014,KIDUTANI PRIMARY SCHOOL,1111
MWARAKAYA,015,MWARAKAYA PRIMARY SCHOOL,2105
MWARAKAYA,016,M'BUYUNI PRIMARY SCHOOL,1193
MWARAKAYA,017,CHENGONI PRIMARY SCHOOL,313
MWARAKAYA,018,KIZINGO PRIMARY SCHOOL,1461
MWARAKAYA,019,GANDINI CHONYI PRIMARY SCHOOL,899
MWARAKAYA,020,VWEVWESI PRIMARY SCHOOL,1061
MWARAKAYA,021,BOKINI PRIMARY SCHOOL,632
MWARAKAYA,022,ST.MARTINS PRIMARY SCHOOL,1703
MWARAKAYA,023,CHIJE PRIMARY SCHOOL,664
MWARAKAYA,024,MWEZANG'OMBE PRIMARY SCHOOL,594
SHIMO LA TEWA,025,MTOMONDONI PRIMARY SCHOOL,10078
SHIMO LA TEWA,026,MTWAPA AGRICULTURE TRAINING CENTER,2529
SHIMO LA TEWA,027,MTWAPA PRIMARY SCHOOL,5194
SHIMO LA TEWA,028,MTWAPA CHIEF'S OFFICE,12564
SHIMO LA TEWA,055,GOLDEN KEY ACADEMY,1067
SHIMO LA TEWA,056,FURAHA JUNIOR ACADEMY,436
SHIMO LA TEWA,057,MTOMONDONI SCHEME PRIMARY SCHOOL,205
SHIMO LA TEWA,058,TIMBONI NURSERY SCHOOL,35
CHASIMBA,029,ZIANI PRIMARY SCHOOL,1473
CHASIMBA,030,KATIKIRIENI PRIMARY SCHOOL,1608
CHASIMBA,031,DINDIRI PRIMARY SCHOOL,853
CHASIMBA,032,MAKATA PRIMARY SCHOOL,756
CHASIMBA,033,CHASIMBA PRIMARY SCHOOL,1067
CHASIMBA,034,KOLONGONI PRIMARY SCHOOL,1866
CHASIMBA,035,BUNGU PRIMARY SCHOOL,335
CHASIMBA,036,M'BOMBONI PRIMARY SCHOOL,548
CHASIMBA,037,DZITSONI PRIMARY SCHOOL,896
CHASIMBA,038,BUNDACHO PRIMARY SCHOOL,1310
CHASIMBA,039,KITSOENI PRIMARY SCHOOL,660
CHASIMBA,040,NG'OMBENI PRIMARY SCHOOL,598
CHASIMBA,041,LUTSANGANI SECONDARY SCHOOL,214
CHASIMBA,042,LUBONDO PRIMARY SCHOOL,95
CHASIMBA,043,KARIMBONI PRIMARY SCHOOL,465
CHASIMBA,044,KAOLE PRIMARY SCHOOL,179
CHASIMBA,045,BEMBO PRIMARY SCHOOL,1195
MTEPENI,046,BARANI PRIMARY SCHOOL,2934
MTEPENI,047,MTEPENI PRIMARY SCHOOL,2477
MTEPENI,048,TUNZANANI PRIMARY SCHOOL,580
MTEPENI,049,RIZIKI WOMEN GROUP HALL,572
MTEPENI,050,MAKIO SOCIAL HALL,8197
MTEPENI,051,KIKAMBALA PRIMARY SCHOOL,3030
MTEPENI,052,MSUMARINI SECONDARY SCHOOL,1673
MTEPENI,053,BAHARINI PRIMARY SCHOOL,1186
MTEPENI,054,USHINDI NURSERY SCHOOL,1868
MTEPENI,059,MTWAPA NORTH SECONDARY SCHOOL,459
MTEPENI,060,MBEWAU PRIMARY SCHOOL,156
